Upeneus sundaicus	35
Yongeichthys criniger	19
Caranx sp.	17
Netuma thalassina	213
Pomadasys sp.	6
Pomadasys kaakan	90
Pomadasys maculatus	150
Thryssa hamiltonii	143
Zabidius novemaculeatus	4
Chromatophorichthys penicillus	1
Cristiceps australis	33
Arripis georgianus	11
Ophichthys cuchia	66
Cirripectes stigmaticus	40
Cirripectes randalli	16
Cirripectes castaneus	66
Carcharhinus amblyrhynchos	149
Carcharhinus falciformis	893
Lates niloticus	79
Hydrolagus affinis	19
Sarotherodon galilaeus	67
Oreochromis macrochir	10
Oreochromis andersonii	12
Clupeonella abrau	15
Alosa aestivalis	90
Alosa mediocris	46
Cottus hypselurus	15
Cottus cognatus	186
Cyprinodon elegans	6
Cyprinodon pecosensis	6
Cyprinodon bovinus	6
Cyprinodon macularius	12
Fundulus catenatus	17
Fundulus zebrinus	49
Proterorhinus semilunaris	76
Periophthalmus novemradiatus	64
Notropis boops	19
Erimystax x-punctatus	30
Notropis nubilus	14
Cyprinella venusta	20
Notropis buccata	33
Notropis percobromus	8
Notropis texanus	22
Notropis maculatus	14
Luxilus pilsbryi	6
Campostoma oligolepis	20
Notropis girardi	10
Macrhybopsis tetranema	6
Rutilus rutilus	173
Hybognathus placitus	18
Semotilus corporalis	37
Gila elegans	11
Ptychocheilus lucius	14
Notropis jemezanus	8
Dionda diaboli	6
Hybognathus amarus	12
Gila nigrescens	10
Gila cypha	10
Nocomis micropogon	31
Exoglossum maxillingua	31
Notropis hudsonius	83
Cyprinella leedsi	14
Rhinichthys obtusus	139
Notropis heterolepis	36
Notropis chalybaeus	10
Rhynchocypris oxycephalus	98
Cetonurus globiceps	22
Morone americana	73
Parupeneus crassilabris	22
Parupeneus barberinus	128
Parupeneus cyclostomus	74
Parupeneus biaculeatus	8
Parupeneus barberinoides	43
Narke japonica	40
Spirinchus thaleichthys	27
Hypomesus transpacificus	42
Pangasius krempfi	11
Pangasius mekongensis	7
Pangasius sanitwongsei	25
Centropyge flavissima	175
Apolemichthys griffisi	18
Holacanthus africanus	23
Dipturus intermedius	29
Oncorhynchus mykiss	772
Salmo salar	858
Oncorhynchus gilae	12
Coregonus hoyi	47
Coregonus artedi	65
Salvelinus namaycush	125
Thymallus baicalolenensis	41
Salvelinus kuznetzovi	8
Salvelinus albus	10
Pagrus pagrus	306
Xiphister atropurpureus	13
Takifugu pseudommus	15
Haliaeetus albicilla	78
Milvus migrans	85
Aethia cristatella	22
Delphinus delphis	150
Indopacetus pacificus	5
Lepidogalaxias salamandroides	5
Melanotaenia australis	22
Melanotaenia boesemani	83
Melanotaenia parkinsoni	26
Melanotaenia splendida	69
Melanotaenia fluviatilis	14
Rhadinocentrus ornatus	51
Melanotaenia duboulayi	13
Melanotaenia praecox	17
Iriatherina werneri	28
Melanotaenia trifasciata	13
